,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,Market Cap,Volume Avg,Sector ID,Sector,IDs,Sub-industry
,COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,858470,10945030000,7245473,3,,,Multi-Sector Holdings
,CAM,Cameron International Corp.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,941548,8841635983,3175964,3,,,Multi-Utilities & Unregulated Power
,CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,14332289998,1528945,2,,,Networking Equipment
,COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",,927628,40514409979,3211467,4,,,Office Services & Supplies
,CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors & Services,"Dublin, Ohio",,721371,27532689990,1741112,5,,,Oil & Gas Drilling
,CFN,Carefusion,reports,Health Care,Health Care Equipment & Services,"San Diego, California[4]",,1457543,12109090028,2199106,5,,,Oil & Gas Equipment & Services
,KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",,1170010,13041719977,1945270,1,,,Oil & Gas Exploration & Production
,CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",,815097,34364510010,4651752,1,,,Oil & Gas Refining & Marketing & Transportation
,CAT,Caterpillar Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",,18230,48413749972,7265020,6,,,Packaged Foods & Meats
,CBG,CBRE Group,reports,Financials,Real Estate Management & Development,"Los Angeles, California",,1138118,10764919995,1955351,4,,,Paper Packaging
,CBS,CBS Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",9/1/1994,813828,28512759979,6076838,1,,,Paper Products
,CELG,Celgene Corp.,reports,Health Care,Biotechnology,"Summit, New Jersey",,816284,96539379952,5977160,5,,,Personal Products
,CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities & Unregulated Power,"Houston, Texas",7/31/1985,1130310,9923984995,3569317,10,,,Pharmaceuticals
,CTL,CenturyLink Inc,reports,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",,18926,21213120011,2877075,9,,,Property & Casualty Insurance
,CERN,Cerner,reports,Health Care,Health Care Distributors & Services,"North Kansas City, Missouri",,804753,22974250018,1192178,5,,,Publishing
,CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",,1324404,15188139894,736541,8,,,Railroads
,SCHW,Charles Schwab Corporation,reports,Financials,Diversified Financial Services,"San Francisco, California",,316709,33923879997,7418869,4,,,Real Estate Management & Development
,CHK,Chesapeake Energy,reports,Energy,Integrated Oil & Gas,"Oklahoma City, Oklahoma",,895126,12756819996,14364169,3,,,REITs
,CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,193825200044,9634434,3,,,Research & Consulting Services
,CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",,1058090,22014030247,365862,1,,,Residential REITs
,CB,Chubb Corp.,reports,Financials,Property & Casualty Insurance,"Warren, New Jersey",6/30/1976,20171,23086160023,977533,4,,,Restaurants
,CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",6/30/1976,701221,27944450009,1313997,5,,,Retail REITs
